"","age","juv_fel_count","juv_misd_count","juv_other_count","priors_count","c_charge_degree","c_charge_desc","is_recid","prison_length"
"1",27,0,0,1,18,"(F3)","Grand Theft in the 3rd Degree",0,510
"2",41,0,0,0,11,"(F3)","Felony Petit Theft",1,391
"7",54,0,0,0,10,"(F3)","Possession of Cocaine",0,231
"8",54,0,0,0,10,"(F3)","Possession of Cocaine",0,275
"9",54,0,0,0,10,"(F3)","Possession of Cocaine",0,1061
"10",54,0,0,0,10,"(F3)","Possession of Cocaine",0,518
"11",54,0,0,0,10,"(F3)","Possession of Cocaine",0,164
"12",54,0,0,0,10,"(F3)","Possession of Cocaine",0,418
"13",28,0,0,0,5,"(F3)","Possession of Hydrocodone",0,2066
"14",38,0,0,0,18,"(F1)","Burglary With Assault/battery",1,1062
"15",38,0,0,0,18,"(F1)","Burglary With Assault/battery",1,234
"16",26,0,0,0,7,"(F3)","Aggravated Assault W/Dead Weap",1,1574
"17",23,0,0,0,5,"(M1)","Resist/Obstruct W/O Violence",1,269
"18",43,0,0,0,2,"(M1)","DUI Property Damage/Injury",0,820
"19",43,0,0,0,2,"(M1)","DUI Property Damage/Injury",0,1512
"20",43,0,0,0,2,"(M1)","DUI Property Damage/Injury",0,4
"21",43,0,0,0,2,"(M1)","DUI Property Damage/Injury",0,41
"22",43,0,0,0,2,"(M1)","DUI Property Damage/Injury",0,978
"23",23,0,2,0,3,"(F2)","Manslaughter W/Weapon/Firearm",1,2220
"24",21,0,0,0,0,"(F2)","Aggravated Battery",0,0
"25",41,0,0,0,3,"(F3)","arrest case no charge",0,356
"26",51,0,0,0,1,"(F3)","Possession Burglary Tools",0,390
"27",28,0,0,1,16,"(F1)","Robbery W/Firearm",1,368
"28",27,0,0,0,3,"(F3)","Carrying Concealed Firearm",1,1735
"29",52,0,0,0,1,"(M1)","arrest case no charge",0,86
"30",52,0,0,0,1,"(M1)","arrest case no charge",0,1526
"31",31,0,1,3,10,"(F3)","Driving While License Revoked",1,2091
"32",31,0,1,3,10,"(F3)","Driving While License Revoked",1,35
"33",36,0,0,0,4,"(F1)","arrest case no charge",1,230
"34",45,0,0,0,15,"(F3)","Att Burgl Unoccupied Dwel",1,86
"35",45,0,0,0,15,"(F3)","Att Burgl Unoccupied Dwel",1,204
"36",45,0,0,0,15,"(F3)","Att Burgl Unoccupied Dwel",1,864
"37",45,0,0,0,15,"(F3)","Att Burgl Unoccupied Dwel",1,1560
"38",45,0,0,0,15,"(F3)","Att Burgl Unoccupied Dwel",1,809
"39",45,0,0,0,15,"(F3)","Att Burgl Unoccupied Dwel",1,104
"40",45,0,0,0,15,"(F3)","Att Burgl Unoccupied Dwel",1,440
"41",33,0,0,0,0,"(F3)","Driving While License Revoked",0,604
"42",35,0,0,0,1,"(F3)","arrest case no charge",0,3052
"43",34,0,0,0,14,"(F3)","Grand Theft in the 3rd Degree",1,342
"44",34,0,0,0,14,"(F3)","Grand Theft in the 3rd Degree",1,1574
"45",34,0,0,0,14,"(F3)","Grand Theft in the 3rd Degree",1,214
"46",21,0,0,1,0,"(F2)","Burglary Unoccupied Dwelling",1,2122
"47",26,0,0,0,4,"(F3)","Possession of Cocaine",0,2169
"48",44,0,0,0,6,"(F3)","Possession of Cocaine",1,1785
"49",23,0,0,0,1,"(F5)","arrest case no charge",0,1989
"50",46,0,0,0,1,"(F3)","arrest case no charge",0,197
"51",46,0,0,0,1,"(F3)","arrest case no charge",0,227
"52",46,0,0,0,1,"(F3)","arrest case no charge",0,17
"53",46,0,0,0,1,"(F3)","arrest case no charge",0,117
"54",46,0,0,0,1,"(F3)","arrest case no charge",0,1379
"55",23,0,0,1,3,"(F2)","arrest case no charge",1,1392
"56",21,0,0,0,1,"(F2)","Escape",0,1504
"57",24,0,0,1,9,"(M1)","Viol Injunct Domestic Violence",1,265
"58",30,0,0,0,3,"(F3)","arrest case no charge",0,1674
"59",60,0,0,0,15,"(F3)","Felony Petit Theft",0,902
"60",60,0,0,0,15,"(F3)","Felony Petit Theft",0,318
"61",60,0,0,0,15,"(F3)","Felony Petit Theft",0,202
"62",60,0,0,0,15,"(F3)","Felony Petit Theft",0,153
"63",60,0,0,0,15,"(F3)","Felony Petit Theft",0,231
"64",60,0,0,0,15,"(F3)","Felony Petit Theft",0,369
"65",60,0,0,0,15,"(F3)","Felony Petit Theft",0,1506
"66",60,0,0,0,15,"(F3)","Felony Petit Theft",0,119
"67",60,0,0,0,15,"(F3)","Felony Petit Theft",0,1057
"77",62,0,0,0,1,"(F3)","arrest case no charge",0,1399
"78",31,0,0,0,16,"(F3)","Burglary Conveyance Unoccup",1,1532
"79",46,1,0,0,5,"(M1)","Battery",0,170
"80",46,1,0,0,5,"(M1)","Battery",0,5313
"81",46,1,0,0,5,"(M1)","Battery",0,880
"82",43,0,0,0,18,"(M2)","Driving License Suspended",0,102
"83",43,0,0,0,18,"(M2)","Driving License Suspended",0,116
